event.uuid,event.classification,event.tlp,event.special_france,event.title.desensitized,event.reliability,event.description,event.date,event.apts,event.metadata,signature.uuid,signature.type,signature.description,siganture.value,signature_component.uuid,signature_component.type,signature_component.reliability,signature_component.metedata,signature_component.value,signature_component.description
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",84c40f80-c7cb-4849-bd02-a061d675664a,ip-dst,,,84c40f80-c7cb-4849-bd02-a061d675664a,ip-dst,Bonne,,141.101.253.109,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",b7baec62-a5fa-45e6-a250-9cc69990537e,ip-dst,,,b7baec62-a5fa-45e6-a250-9cc69990537e,ip-dst,Bonne,,147.50.50.50,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",d813ccc0-5e16-4a01-9c42-d0ff1cf2b66e,ip-dst,,,d813ccc0-5e16-4a01-9c42-d0ff1cf2b66e,ip-dst,Bonne,,154.181.248.88,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",e6c53bb6-fb48-4ffe-b255-890d8156891d,ip-dst,,,e6c53bb6-fb48-4ffe-b255-890d8156891d,ip-dst,Bonne,,154.182.91.196,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",ceab60f5-0a66-4a9c-adcb-c94adad87296,ip-dst,,,ceab60f5-0a66-4a9c-adcb-c94adad87296,ip-dst,Bonne,,156.222.101.141,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",ec8ef861-e183-4d9a-8911-47cbd0411d13,ip-dst,,,ec8ef861-e183-4d9a-8911-47cbd0411d13,ip-dst,Bonne,,156.222.156.41,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",76f7c3e3-08c1-4d08-bd08-41d8a3da3692,ip-dst,,,76f7c3e3-08c1-4d08-bd08-41d8a3da3692,ip-dst,Bonne,,156.222.19.219,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",a2d36dea-d90f-4cbb-943f-65d742717fd5,ip-dst,,,a2d36dea-d90f-4cbb-943f-65d742717fd5,ip-dst,Bonne,,156.222.191.87,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",e60d4f34-d6d1-4c3e-b027-34337a00d7f0,ip-dst,,,e60d4f34-d6d1-4c3e-b027-34337a00d7f0,ip-dst,Bonne,,156.222.199.111,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",75c574e2-8073-4729-b4aa-03baa31b0a1a,ip-dst,,,75c574e2-8073-4729-b4aa-03baa31b0a1a,ip-dst,Bonne,,156.222.200.181,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",68bceb23-ff00-4eb8-8335-ec9f913057d6,ip-dst,,,68bceb23-ff00-4eb8-8335-ec9f913057d6,ip-dst,Bonne,,156.222.223.10,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",78b35866-fc94-43bc-a1a0-9a4d87e49b5b,ip-dst,,,78b35866-fc94-43bc-a1a0-9a4d87e49b5b,ip-dst,Bonne,,156.222.224.102,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",71c15eca-784e-41af-88cd-71b4f0832b94,ip-dst,,,71c15eca-784e-41af-88cd-71b4f0832b94,ip-dst,Bonne,,156.222.227.118,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",a89954c3-214d-4698-8a3b-3251776f2822,ip-dst,,,a89954c3-214d-4698-8a3b-3251776f2822,ip-dst,Bonne,,156.222.38.116,
60f6ea57-5534-4866-9677-44650abe1822,NON-CLASSIFIEES,white,False,Publication maqueurs APT31,Bonne,,2021-07-20,['APT31'],"fr-classif:non-classifiees=""NON-CLASSIFIEES"", cossi:TLP=""white"", cossi:RechercheSourceOuverte=""Autorisee"", cossi:fiabilite=""Bonne"", cossi:threat_category=""APT"", misp-galaxy:threat-actor=""APT31""",84633245-15ff-4b98-8258-06db9a3d231e,ip-dst,,,84633245-15ff-4b98-8258-06db9a3d231e,ip-dst,Bonne,,156.222.38.228,
